ESTADOS;ACTION_UP;ACTION_DOWN;ACTION_LEFT;ACTION_RIGHT;ACTION_NIL;
OBTENGO_GASOLINA;"181,02056637638324";"180,19047488850885";"186,34724797349037";"180,91295327239354";"172,0137282354242";
ESQUIVO_OBSTACULO;"182,97631668898455";"185,10700714545024";"142,08157168850602";"179,53117850665254";"153,7840628794682";
MUERTE_SEGURA;"5,0327325406033125";"2,1621274741001395";"52,91000378834977";"36,09049807662985";"1,3816105606611062";
GASOLINA_ARRIBA;"79,82293374893659";"88,05681413849821";"56,98273716188069";"6,9841111186817795";"70,35365975112262";
GASOLINA_ABAJO;"158,17753392711924";"179,30756804842446";"176,55380584295216";"157,28278168784604";"173,62845208603648";
GASOLINA_IZQDA;"123,55631093296823";"106,90934261052334";"174,1806132448714";"109,51962023326892";"110,03033740932278";
GASOLINA_DCHA;"107,91200299830774";"108,42538100356106";"110,72426039752943";"185,28002427517654";"112,4925417392501";
HUECO_ARRIBA;"179,09721422607413";"101,42550370991063";"101,82191623927643";"87,1494626701129";"90,48883962063634";
HUECO_ABAJO;"60,28438870607761";"4,5365897299152085";"63,72859795063408";"31,860232780870234";"3,0082481977306674";
HUECO_IZQDA;"115,42452341431489";"121,5600026056322";"223,03592619655285";"124,21682699827758";"120,1593398384335";
HUECO_DCHA;"104,89442245780633";"107,62788514702578";"80,71937087061099";"141,12950332722082";"110,28869037660704";
OBSTACULO_ARRIBA;"26,983345842715778";"55,818826224943685";"3,432139935425782";"45,30359668246875";"24,48146463753298";
OBSTACULOS_IZQDA;"162,29915753261199";"100,6844437145557";"143,61537282513348";"122,06116842019014";"153,2744923559631";
OBSTACULOS_DCHA;"131,95752267238655";"74,04977954489803";"109,20948881355304";"99,0425212437514";"80,4154410071134";
BORDE_DCHA;"106,52787074349772";"100,86051162113355";"169,04166395306257";"88,33979086526475";"103,76433695261089";
BORDE_IZQDA;"107,3944749772194";"107,68683713677137";"8,353676780096356";"179,69552561462362";"90,19192085559158";
NIL;"57,8849414331458";"14,395831137029658";"46,78736080556091";"15,879471723798776";"27,027898288500694";
